"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201000;"Powiat bolesławiecki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";21,9;"osoba";"";
0202000;"Powiat dzierżoniowski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";16,8;"osoba";"";
0203000;"Powiat głogowski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";17,7;"osoba";"";
0204000;"Powiat górowski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";10,0;"osoba";"";
0205000;"Powiat jaworski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";11,9;"osoba";"";
0206000;"Powiat karkonoski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";19,4;"osoba";"";
0207000;"Powiat kamiennogórski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";18,7;"osoba";"";
0208000;"Powiat kłodzki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";23,9;"osoba";"";
0209000;"Powiat legnicki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";10,5;"osoba";"";
0210000;"Powiat lubański";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";15,5;"osoba";"";
0211000;"Powiat lubiński";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";30,5;"osoba";"";
0212000;"Powiat lwówecki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";10,8;"osoba";"";
0213000;"Powiat milicki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";25,3;"osoba";"";
0214000;"Powiat oleśnicki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";16,4;"osoba";"";
0215000;"Powiat oławski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";19,3;"osoba";"";
0216000;"Powiat polkowicki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";6,9;"osoba";"";
0217000;"Powiat strzeliński";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";10,4;"osoba";"";
0218000;"Powiat średzki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";10,2;"osoba";"";
0219000;"Powiat świdnicki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";20,7;"osoba";"";
0220000;"Powiat trzebnicki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";20,9;"osoba";"";
0221000;"Powiat wałbrzyski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";14,9;"osoba";"";
0222000;"Powiat wołowski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";18,7;"osoba";"";
0223000;"Powiat wrocławski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";20,7;"osoba";"";
0224000;"Powiat ząbkowicki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";7,9;"osoba";"";
0225000;"Powiat zgorzelecki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";16,4;"osoba";"";
0226000;"Powiat złotoryjski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";16,0;"osoba";"";
0261000;"Powiat m.Jelenia Góra";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";46,4;"osoba";"";
0262000;"Powiat m.Legnica";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";37,1;"osoba";"";
0264000;"Powiat m.Wrocław";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";89,3;"osoba";"";
0265000;"Powiat m.Wałbrzych od 2013";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";31,9;"osoba";"";
0401000;"Powiat aleksandrowski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";19,1;"osoba";"";
0402000;"Powiat brodnicki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";12,4;"osoba";"";
0403000;"Powiat bydgoski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";37,7;"osoba";"";
0404000;"Powiat chełmiński";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";10,8;"osoba";"";
0405000;"Powiat golubsko-dobrzyński";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";10,5;"osoba";"";
0406000;"Powiat grudziądzki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";11,0;"osoba";"";
0407000;"Powiat inowrocławski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";20,0;"osoba";"";
0408000;"Powiat lipnowski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";9,0;"osoba";"";
0409000;"Powiat mogileński";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";8,4;"osoba";"";
0410000;"Powiat nakielski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";12,9;"osoba";"";
0411000;"Powiat radziejowski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";18,6;"osoba";"";
0412000;"Powiat rypiński";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";12,7;"osoba";"";
0413000;"Powiat sępoleński";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";7,9;"osoba";"";
0414000;"Powiat świecki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";12,2;"osoba";"";
0415000;"Powiat toruński";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";13,0;"osoba";"";
0416000;"Powiat tucholski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";10,4;"osoba";"";
0417000;"Powiat wąbrzeski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";10,6;"osoba";"";
0418000;"Powiat włocławski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";7,3;"osoba";"";
0419000;"Powiat żniński";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";11,4;"osoba";"";
0461000;"Powiat m.Bydgoszcz";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";71,9;"osoba";"";
0462000;"Powiat m.Grudziądz";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";32,6;"osoba";"";
0463000;"Powiat m.Toruń";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";47,5;"osoba";"";
0464000;"Powiat m.Włocławek";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";31,5;"osoba";"";
0601000;"Powiat bialski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";6,9;"osoba";"";
0602000;"Powiat biłgorajski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";10,4;"osoba";"";
0603000;"Powiat chełmski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";4,8;"osoba";"";
0604000;"Powiat hrubieszowski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";12,3;"osoba";"";
0605000;"Powiat janowski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";22,7;"osoba";"";
0606000;"Powiat krasnostawski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";14,6;"osoba";"";
0607000;"Powiat kraśnicki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";18,6;"osoba";"";
0608000;"Powiat lubartowski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";15,7;"osoba";"";
0609000;"Powiat lubelski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";16,0;"osoba";"";
0610000;"Powiat łęczyński";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";16,0;"osoba";"";
0611000;"Powiat łukowski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";14,1;"osoba";"";
0612000;"Powiat opolski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";12,9;"osoba";"";
0613000;"Powiat parczewski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";15,2;"osoba";"";
0614000;"Powiat puławski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";26,9;"osoba";"";
0615000;"Powiat radzyński";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";19,7;"osoba";"";
0616000;"Powiat rycki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";20,6;"osoba";"";
0617000;"Powiat świdnicki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";22,4;"osoba";"";
0618000;"Powiat tomaszowski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";16,6;"osoba";"";
0619000;"Powiat włodawski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";17,1;"osoba";"";
0620000;"Powiat zamojski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";8,7;"osoba";"";
0661000;"Powiat m.Biała Podlaska";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";57,5;"osoba";"";
0662000;"Powiat m.Chełm";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";36,7;"osoba";"";
0663000;"Powiat m.Lublin";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";123,8;"osoba";"";
0664000;"Powiat m.Zamość";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";74,2;"osoba";"";
0801000;"Powiat gorzowski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";11,8;"osoba";"";
0802000;"Powiat krośnieński";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";12,2;"osoba";"";
0803000;"Powiat międzyrzecki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";16,3;"osoba";"";
0804000;"Powiat nowosolski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";24,0;"osoba";"";
0805000;"Powiat słubicki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";10,4;"osoba";"";
0806000;"Powiat strzelecko-drezdenecki";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";7,8;"osoba";"";
0807000;"Powiat sulęciński";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";16,2;"osoba";"";
0808000;"Powiat świebodziński";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";20,5;"osoba";"";
0809000;"Powiat zielonogórski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";14,6;"osoba";"";
0810000;"Powiat żagański";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";11,3;"osoba";"";
0811000;"Powiat żarski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";19,8;"osoba";"";
0812000;"Powiat wschowski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";6,9;"osoba";"";
0861000;"Powiat m.Gorzów Wielkopolski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";38,4;"osoba";"";
0862000;"Powiat m.Zielona Góra";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";53,3;"osoba";"";
1001000;"Powiat bełchatowski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";31,5;"osoba";"";
1002000;"Powiat kutnowski";"lekarze pracujący wg podstawowego miejsca pracy na 10 tys. ludności";"2021";18,2;"osoba";"";
